,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return,MA20,MA50
2025-07-28,1491.07,1496.39,1460.15,1493.14,6439855,0.0,0.0,,,
2025-07-29,1490.09,1494.32,1473.54,1490.88,7070448,0.0,0.0,-0.15,,
2025-07-30,1496.98,1498.76,1483.29,1496.1,5719051,0.0,0.0,0.35,,
2025-07-31,1486.94,1504.07,1474.43,1486.25,6851407,0.0,0.0,-0.66,,
2025-08-01,1471.37,1476.1,1443.4,1447.44,8702978,0.0,0.0,-2.61,,
2025-08-04,1439.46,1460.44,1429.12,1458.18,8610216,0.0,0.0,0.74,,
2025-08-05,1456.4,1456.4,1433.06,1438.28,10213323,0.0,0.0,-1.36,,
2025-08-06,1430.11,1434.14,1408.73,1415.04,10566934,0.0,0.0,-1.62,,
2025-08-07,1408.44,1420.26,1392.88,1415.23,9892020,0.0,0.0,0.01,,
2025-08-08,1403.51,1411.59,1395.73,1401.64,10048009,0.0,0.0,-0.96,,
2025-08-11,1398.49,1411.79,1392.68,1406.67,6625368,0.0,0.0,0.36,,
2025-08-12,1406.67,1419.27,1399.57,1402.63,9899184,0.0,0.0,-0.29,,
2025-08-13,1403.51,1412.38,1400.95,1405.09,10318063,0.0,0.0,0.18,,
2025-08-14,1404.7,1447.84,1404.7,1425.87,12902347,0.0,0.0,1.48,,
2025-08-18,1442.62,1442.62,1408.04,1414.15,7254561,0.0,0.0,-0.82,,
2025-08-19,1411.1,1427.55,1411.1,1418.29,3986094,0.0,0.0,0.29,,
2025-08-20,1418.98,1476.4,1418.98,1473.64,10413061,0.0,0.0,3.9,,
2025-08-21,1485.26,1485.26,1461.92,1473.84,6565539,0.0,0.0,0.01,,
2025-08-22,1475.51,1481.62,1463.69,1465.07,5543397,0.0,0.0,-0.59,,
2025-08-25,1483.98,1515.79,1483.98,1509.0,10694531,0.0,0.0,3.0,1446.82,
2025-08-26,1500.04,1515.2,1495.7,1506.54,15994798,0.0,0.0,-0.16,1447.49,
2025-08-28,1506.54,1506.54,1475.41,1477.48,5443364,0.0,0.0,-1.93,1446.82,
2025-08-29,1479.25,1479.25,1445.57,1447.44,8169075,0.0,0.0,-2.03,1444.39,
2025-09-01,1454.43,1480.73,1453.94,1476.79,4546057,0.0,0.0,2.03,1443.92,
2025-09-02,1476.79,1489.99,1463.89,1476.1,5218763,0.0,0.0,-0.05,1445.35,
2025-09-03,1477.38,1479.25,1450.79,1456.8,4623483,0.0,0.0,-1.31,1445.28,
2025-09-04,1461.62,1461.62,1438.08,1440.94,5787724,0.0,0.0,-1.09,1445.41,
2025-09-05,1447.84,1450.49,1411.39,1422.82,5466487,0.0,0.0,-1.26,1445.8,
2025-09-08,1429.12,1436.02,1406.76,1411.29,3811567,0.0,0.0,-0.81,1445.6,
2025-09-09,1458.67,1484.47,1450.3,1481.62,13072640,0.0,0.0,4.98,1449.6,
2025-09-10,1487.33,1511.76,1486.54,1509.49,7281071,0.0,0.0,1.88,1454.74,
2025-09-11,1500.92,1504.47,1483.78,1486.94,8003662,0.0,0.0,-1.49,1458.96,
2025-09-12,1513.83,1519.64,1498.16,1502.6,12856963,0.0,0.0,1.05,1463.84,
2025-09-15,1502.6,1504.47,1478.56,1485.66,6167414,0.0,0.0,-1.13,1466.82,
2025-09-16,1485.66,1491.17,1480.83,1488.51,8923112,0.0,0.0,0.19,1470.54,
